Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Blood	6	 	10.558	10.075	1	58
Chromosome Research	6	 	3.13	3.22	1	7
Science (New York)	6	6	31.377	31.777	2	193
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	38
Cell	6	6	32.406	34.931	2	90
The Journal of Cell Biology	6	 	9.921	10.123	1	118
Developmental Biology	6	 	4.094	4.42	1	61
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	96
The Journal of Biological Chemistry	8	 	5.328	5.498	1	296
American Journal of Physiology. Heart and Circulatory Physiology	8	 	3.881	3.857	1	80
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	85
The Journal of Clinical Investigation	6	 	14.152	16.641	1	68
Cell	8	8	32.406	34.931	2	407
The Journal of Neuroscience	6	 	7.271	8.068	1	44
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	43
Neuron	8	6	14.027	14.927	2	53
Molecular and Cellular Biology	6	 	6.188	6.381	1	33
Nature	8	10	36.104	35.248	2	492
Current Genetics	8	 	2.035	2.397	1	27
Medical Hypotheses	6	 	1.389	1.296	1	22
American Journal of Physiology. Heart and Circulatory Physiology	6	 	3.881	3.857	1	26
Current Biology	6	8	10.026	11.436	2	124
European Journal of Clinical Investigation	6	 	2.736	2.72	1	12
The Journal of Clinical Endocrinology and Metabolism	6	 	6.495	6.438	1	36
Cell	8	 	32.406	34.931	1	39
Cerebral Cortex	6	 	6.844	7.2	1	80
Nature Cell Biology	8	 	19.407	19.578	1	122
Current Biology	8	 	10.026	11.436	1	74
Molecular Cell	6	 	14.194	14.447	1	85
Cancer Research	6	 	8.234	8.438	1	153
Molecular Biology of the Cell	6	 	5.861	5.949	1	61
Journal of Proteome Research	6	 	5.46	5.617	1	42
Cell	8	 	32.406	34.931	1	46
Nature	10	10	36.104	35.248	2	182
Science (New York)	8	8	31.377	31.777	2	839
Science (New York)	6	8	31.377	31.777	2	110
Journal of the American Chemical Society	6	 	9.023	8.981	1	35
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	62
The EMBO Journal	8	6	10.124	9.369	2	46
Development	6	 	6.898	7.476	1	48
Immunity	6	 	24.221	22.133	1	134
The Journal of Cell Biology	6	6	9.921	10.123	2	59
Journal of Chemical Information and Modeling	6	 	3.822	3.722	1	757
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	23
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	20
The FASEB Journal	6	 	6.515	7.201	1	82
Science (New York)	8	6	31.377	31.777	2	120
Nature	8	 	36.104	35.248	1	70
Molecular Cell	6	 	14.194	14.447	1	131
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	82
The Journal of Neuroscience	6	 	7.271	8.068	1	19
The Journal of Biological Chemistry	6	 	5.328	5.498	1	26
Molecular Microbiology	8	 	4.819	5.207	1	18
Science (New York)	6	 	31.377	31.777	1	103
Molecular Cell	6	 	14.194	14.447	1	37
Genetics	6	 	4.087	4.311	1	62
Science (New York)	8	 	31.377	31.777	1	140
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	39
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	31
Brain Pathology	6	 	4.741	4.986	1	75
Neuroscience	8	 	3.215	3.48	1	62
Molecular Biology of the Cell	6	 	5.861	5.949	1	78
Molecular Biology of the Cell	8	 	5.861	5.949	1	33
Nature Cell Biology	8	8	19.407	19.578	2	66
Nature Cell Biology	8	 	19.407	19.578	1	191
Science (New York)	8	 	31.377	31.777	1	120
Immunity	6	 	24.221	22.133	1	56
Behavioural Brain Research	6	 	3.393	3.302	1	18
Journal of Bacteriology	6	 	3.726	3.818	1	60
Science (New York)	6	 	31.377	31.777	1	78
The EMBO Journal	6	 	10.124	9.369	1	98
Immunity	8	10	24.221	22.133	2	1159
Journal of the American Chemical Society	6	 	9.023	8.981	1	6
Journal of Dairy Science	6	 	2.497	2.952	1	12
Mathematical Biosciences	6	 	1.593	1.712	1	14
Molecular Cell	6	 	14.194	14.447	1	52
Neural Computation	6	 	2.29	2.949	1	57
The Journal of Biological Chemistry	6	 	5.328	5.498	1	41
Molecular Biology of the Cell	6	 	5.861	5.949	1	53
Ecology Letters	6	6	15.253	14.261	2	276
Genome Research	6	 	13.588	11.971	1	66
PLoS Biology	6	 	12.472	14.376	1	70
BMC Cell Biology	6	 	2.464	3.022	1	46
Molecular Cell	6	 	14.194	14.447	1	63
The Journal of Biological Chemistry	6	 	5.328	5.498	1	67
FEBS Letters	6	 	3.601	3.399	1	23
Molecular Biology of the Cell	6	6	5.861	5.949	2	67
Nature Cell Biology	6	6	19.407	19.578	2	121
Molecular and Cellular Biology	6	 	6.188	6.381	1	28
Biochemical and Biophysical Research Communications	6	 	2.595	2.72	1	12
Developmental Biology	6	 	4.094	4.42	1	5
Nature	6	6	36.104	35.248	2	206
Gastroenterology	6	 	12.032	12.403	1	150
The Plant Cell	6	 	9.396	10.648	1	228
The Plant Cell	6	 	9.396	10.648	1	289
Nature Structural &amp; Molecular Biology	8	 	13.685	12.481	1	143
Molecular Cell	6	 	14.194	14.447	1	81
Hearing Research	6	 	2.428	2.47	1	16
The Journal of Clinical Investigation	6	 	14.152	16.641	1	130
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	39
The Journal of Biological Chemistry	6	 	5.328	5.498	1	96
Proceedings of the National Academy of Sciences of the United States of America	10	8	9.771	10.591	2	287
The Journal of Experimental Medicine	8	 	14.776	15.7	1	272
Journal of Immunology	8	 	5.745	5.909	1	235
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	89
Molecular Cell	8	 	14.194	14.447	1	105
Nature	8	10	36.104	35.248	2	185
Genetics	8	8	4.087	4.311	2	30
Current Biology	6	6	10.026	11.436	2	8
Nature Immunology	8	6	25.668	25.934	2	82
Immunity	6	 	24.221	22.133	1	98
Ecology	6	 	5.073	6.218	1	102
The Journal of Infectious Diseases	6	 	6.288	6.103	1	129
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	171
PLoS Biology	6	 	12.472	14.376	1	108
Journal of Virology	8	 	5.189	5.257	1	160
Nature	8	 	36.104	35.248	1	126
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	93
The Journal of Biological Chemistry	6	 	5.328	5.498	1	69
The Journal of Neuroscience	6	 	7.271	8.068	1	86
Cell	8	8	32.406	34.931	2	355
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	99
Frontiers in ecology and the environment	6	6	8.82	7.931	2	102
Nature	8	8	36.104	35.248	2	334
Journal of the American Chemical Society	6	6	9.023	8.981	2	79
Nucleic Acids Research	10	 	7.836	7.314	1	23
Science (New York)	8	 	31.377	31.777	1	10
Cancer Cell	8	 	26.925	28.438	1	83
Nature	8	8	36.104	35.248	2	1710
Blood	6	 	10.558	10.075	1	28
Cell	8	8	32.406	34.931	2	105
Molecular Microbiology	6	 	4.819	5.207	1	84
Development	6	 	6.898	7.476	1	104
Cellular Microbiology	6	 	5.625	5.428	1	55
The Journal of Experimental Medicine	6	6	14.776	15.7	2	110
Clinical Infectious Diseases	6	 	8.186	7.898	1	36
Frontiers in ecology and the environment	6	 	8.82	7.931	1	54
Molecular Microbiology	6	 	4.819	5.207	1	21
Nature Neuroscience	8	 	14.191	16.19	1	60
The Journal of Neuroscience	8	 	7.271	8.068	1	49
Developmental Cell	8	 	13.946	14.24	1	113
Journal of Combinatorial Chemistry	6	 	3.125	2.693	1	5
Molecular Microbiology	6	 	4.819	5.207	1	32
The Journal of Cell Biology	6	 	9.921	10.123	1	84
Molecular Microbiology	6	 	4.819	5.207	1	46
Ecological monographs	6	 	5.938	8.827	1	16
International journal of plant sciences	6	 	2.364	2.204	1	47
Nano Letters	6	6	12.219	12.832	2	537
Nature	10	8	36.104	35.248	2	491
Nature	10	10	36.104	35.248	2	566
Microbiology	6	 	0.813	0.903	1	19
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	30
Journal of Virology	6	 	5.189	5.257	1	54
Plant Physiology	6	 	6.451	7.016	1	26
Immunity	6	8	24.221	22.133	2	207
Nature Immunology	6	8	25.668	25.934	2	100
Mechanisms of Development	6	 	2.958	3.16	1	13
The American Journal of Pathology	6	 	5.224	5.971	1	12
Nature	8	 	36.104	35.248	1	204
Immunity	10	6	24.221	22.133	2	86
The EMBO Journal	6	 	10.124	9.369	1	109
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	68
Applied and Environmental Microbiology	6	 	3.778	4.529	1	91
Neuron	8	 	14.027	14.927	1	89
Journal of the American Chemical Society	6	 	9.023	8.981	1	12
Journal of Biological Inorganic Chemistry	6	 	3.287	3.323	1	43
Journal of Neurophysiology	8	 	3.114	3.686	1	172
Nature Structural &amp; Molecular Biology	8	 	13.685	12.481	1	20
The EMBO Journal	8	 	10.124	9.369	1	30
Molecular and Cellular Biology	6	 	6.188	6.381	1	130
Molecular Cell	6	6	14.194	14.447	2	47
Cell	6	8	32.406	34.931	2	159
The Journal of Cell Biology	8	6	9.921	10.123	2	114
The EMBO Journal	6	 	10.124	9.369	1	30
Cell	8	8	32.406	34.931	2	281
The Journal of Neuroscience	8	 	7.271	8.068	1	85
Angewandte Chemie	6	 	12.73	12.05	1	18
Neuron	8	8	14.027	14.927	2	56
Journal of the American Chemical Society	6	 	9.023	8.981	1	60
Journal of Molecular Biology	6	 	4.008	4.095	1	28
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	77
Nature	8	10	36.104	35.248	2	148
Nature	6	 	36.104	35.248	1	74
The FEBS Journal	6	 	3.129	3.2	1	10
The Journal of Biological Chemistry	8	 	5.328	5.498	1	5
Molecular Microbiology	6	 	4.819	5.207	1	53
Nature Genetics	6	8	36.377	32.701	2	426
Science (New York)	6	 	31.377	31.777	1	85
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	37
Animal behaviour	6	 	3.101	3.402	1	21
The European Journal of Neuroscience	8	 	3.658	3.812	1	37
Infection and Immunity	6	 	4.098	4.091	1	51
"Journal of Comparative Physiology. A, Neuroethology, Sensory, Neural, and Behavior"	6	 	2	2.138	1	4
Nature Cell Biology	6	 	19.407	19.578	1	54
The EMBO Journal	6	 	10.124	9.369	1	118
Journal of Bacteriology	6	 	3.726	3.818	1	45
Cell	6	8	32.406	34.931	2	93
Science (New York)	8	 	31.377	31.777	1	233
Molecular Biology of the Cell	8	 	5.861	5.949	1	44
The EMBO Journal	6	 	10.124	9.369	1	63
The Journal of Biological Chemistry	6	 	5.328	5.498	1	31
Development	6	6	6.898	7.476	2	82
Nature Genetics	8	 	36.377	32.701	1	600
The Journal of Biological Chemistry	6	 	5.328	5.498	1	48
The Journal of Experimental Medicine	6	 	14.776	15.7	1	147
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	96
Molecular Biology of the Cell	6	 	5.861	5.949	1	108
Journal of Cell Science	6	 	6.29	6.731	1	65
Molecular Microbiology	8	 	4.819	5.207	1	73
Journal of Immunology	6	 	5.745	5.909	1	67
FEBS Letters	6	 	3.601	3.399	1	18
Developmental Biology	6	 	4.094	4.42	1	138
RNA (New York)	6	 	6.051	5.486	1	14
Nature	8	 	36.104	35.248	1	26
Nature Neuroscience	6	 	14.191	16.19	1	50
Plant &amp; Cell Physiology	6	 	4.257	3.941	1	38
Molecular and Biochemical Parasitology	6	 	2.875	2.963	1	7
Molecular Cell	6	8	14.194	14.447	2	80
Development	8	 	6.898	7.476	1	38
Neuron	6	 	14.027	14.927	1	46
Nature Cell Biology	6	10	19.407	19.578	2	109
Nature	8	10	36.104	35.248	2	320
Nature	8	8	36.104	35.248	2	174
Science (New York)	8	8	31.377	31.777	2	196
Genes &amp; Development	10	 	12.889	13.892	1	21
Nature	8	10	36.104	35.248	2	176
Journal of Virology	6	 	5.189	5.257	1	96
Biochemical and Biophysical Research Communications	6	 	2.595	2.72	1	15
Cell	8	 	32.406	34.931	1	154
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	121
BMC Evolutionary Biology	6	 	3.702	4.619	1	55
Cell	10	 	32.406	34.931	1	193
PLoS Biology	8	6	12.472	14.376	2	230
Developmental Biology	8	 	4.094	4.42	1	209
Science (New York)	6	8	31.377	31.777	2	48
Cancer Research	6	 	8.234	8.438	1	110
Journal of Immunology	6	 	5.745	5.909	1	63
The Journal of Clinical Investigation	8	 	14.152	16.641	1	162
Journal of Immunology	8	 	5.745	5.909	1	31
Nature	10	8	36.104	35.248	2	426
Science (New York)	8	10	31.377	31.777	2	97
Pediatric Research	6	 	2.803	2.871	1	10
The EMBO Journal	6	6	10.124	9.369	2	182
The Journal of Biological Chemistry	6	 	5.328	5.498	1	30
Neuron	8	8	14.027	14.927	2	58
The Plant Cell	6	 	9.396	10.648	1	45
Development	8	 	6.898	7.476	1	77
The Journal of Biological Chemistry	6	 	5.328	5.498	1	40
Journal of Neurophysiology	6	 	3.114	3.686	1	56
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	18
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	205
Journal of the American Chemical Society	6	 	9.023	8.981	1	174
The Journal of Biological Chemistry	6	 	5.328	5.498	1	113
Molecular Biology of the Cell	6	 	5.861	5.949	1	37
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	34
Science (New York)	6	8	31.377	31.777	2	110
Chemistry &amp; Biology	6	 	5.838	5.976	1	57
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	42
Journal of Dental Research	6	 	3.773	4.389	1	49
Nature	10	 	36.104	35.248	1	79
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	26
Journal of Molecular Biology	6	8	4.008	4.095	2	47
Nature Medicine	8	 	25.43	27.887	1	304
Science (New York)	6	6	31.377	31.777	2	88
Cerebral Cortex	6	 	6.844	7.2	1	54
The Journal of Neuroscience	6	 	7.271	8.068	1	99
Learning &amp; Memory	8	 	4.607	4.778	1	32
Ecological Applications	6	 	4.276	5.067	1	131
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	35
Ecology	8	 	5.073	6.218	1	16
Current Biology	6	 	10.026	11.436	1	28
The Journal of Experimental Medicine	8	 	14.776	15.7	1	323
Journal of the American Chemical Society	8	 	9.023	8.981	1	74
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	177
Nature Medicine	8	 	25.43	27.887	1	260
European Journal of Immunology	6	 	4.942	4.705	1	51
Journal of Virology	6	 	5.189	5.257	1	17
Nature Reviews. Neuroscience	6	 	29.51	32.753	1	633
PLoS Biology	6	6	12.472	14.376	2	261
The Journal of Biological Chemistry	6	 	5.328	5.498	1	52
The Plant Cell	6	 	9.396	10.648	1	83
Developmental Cell	6	 	13.946	14.24	1	52
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	50
Development	6	 	6.898	7.476	1	70
The Plant Cell	6	 	9.396	10.648	1	22
Molecular and Cellular Biology	6	6	6.188	6.381	2	74
Nature	8	 	36.104	35.248	1	41
Molecular Biology of the Cell	6	6	5.861	5.949	2	18
Developmental Cell	6	 	13.946	14.24	1	39
Current Biology	6	 	10.026	11.436	1	23
Nature Neuroscience	8	10	14.191	16.19	2	73
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	91
Nature	8	8	36.104	35.248	2	65
Cell	6	 	32.406	34.931	1	48
Journal of the American Chemical Society	6	 	9.023	8.981	1	2
The Journal of Biological Chemistry	6	 	5.328	5.498	1	14
Science (New York)	8	8	31.377	31.777	2	120
Cell	6	8	32.406	34.931	2	80
Nature	8	8	36.104	35.248	2	163
Nature	10	8	36.104	35.248	2	407
Science (New York)	6	8	31.377	31.777	2	166
Current Biology	6	6	10.026	11.436	2	47
The Journal of Neuroscience	8	 	7.271	8.068	1	45
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	40
Plant Physiology	6	 	6.451	7.016	1	46
Molecular Cell	6	 	14.194	14.447	1	288
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	136
The Biochemical Journal	6	 	5.016	4.592	1	32
Molecular Biology of the Cell	6	 	5.861	5.949	1	17
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	28
Nature	6	 	36.104	35.248	1	66
Nature Medicine	8	6	25.43	27.887	2	203
Nature	10	 	36.104	35.248	1	106
Eukaryotic Cell	8	 	3.395	3.637	1	25
The Journal of Pharmacology and Experimental Therapeutics	6	 	4.017	4.089	1	13
Molecular and Cellular Biology	6	 	6.188	6.381	1	27
Science (New York)	8	 	31.377	31.777	1	106
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	102
Journal of Immunology	6	 	5.745	5.909	1	19
Current Biology	6	6	10.026	11.436	2	138
Cell	8	8	32.406	34.931	2	283
Nature	8	8	36.104	35.248	2	70
Nature Structural &amp; Molecular Biology	8	 	13.685	12.481	1	49
Nature	8	 	36.104	35.248	1	316
Science (New York)	6	10	31.377	31.777	2	225
Development	6	 	6.898	7.476	1	279
Developmental Cell	8	6	13.946	14.24	2	42
Developmental Cell	6	 	13.946	14.24	1	6
Nature Cell Biology	6	6	19.407	19.578	2	140
Nature	10	6	36.104	35.248	2	149
Nature	8	8	36.104	35.248	2	91
Cell	8	10	32.406	34.931	2	120
Nature Genetics	6	 	36.377	32.701	1	228
Applied and Environmental Microbiology	6	6	3.778	4.529	2	13
Journal of Experimental Botany	8	 	4.818	4.99	1	18
Journal of the American Chemical Society	8	6	9.023	8.981	2	24
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	157
The Journal of Biological Chemistry	6	 	5.328	5.498	1	25
Journal of the American Chemical Society	6	 	9.023	8.981	1	31
Developmental Cell	6	 	13.946	14.24	1	137
Cancer Cell	6	 	26.925	28.438	1	150
Molecular Cell	6	 	14.194	14.447	1	71
Nucleic Acids Research	6	 	7.836	7.314	1	192
Journal of Virology	6	 	5.189	5.257	1	51
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	69
Nature Biotechnology	8	 	31.09	29.065	1	87
Blood	8	 	10.558	10.075	1	133
Journal of Immunology	8	 	5.745	5.909	1	61
The Plant Cell	6	6	9.396	10.648	2	28
The Journal of Biological Chemistry	8	 	5.328	5.498	1	23
Neuroscience Letters	6	 	2.055	2.18	1	36
Journal of Medicinal Chemistry	6	 	5.207	5.18	1	16
Journal of Medicinal Chemistry	8	 	5.207	5.18	1	42
The Journal of Experimental Medicine	6	 	14.776	15.7	1	38
Nature Genetics	6	 	36.377	32.701	1	97
The EMBO Journal	6	6	10.124	9.369	2	37
Chemical Communications	6	 	5.787	5.582	1	6
Diabetes	6	 	8.889	8.484	1	92
Neuropsychologia	6	 	3.949	4.739	1	41
Hippocampus	8	 	4.609	5.289	1	37
Development	6	 	6.898	7.476	1	38
The Plant Cell	6	 	9.396	10.648	1	152
The Journal of Biological Chemistry	6	 	5.328	5.498	1	60
PLoS Biology	6	 	12.472	14.376	1	70
Molecular Biology of the Cell	6	 	5.861	5.949	1	21
Nature	6	6	36.104	35.248	2	390
Journal of the American Chemical Society	8	6	9.023	8.981	2	45
The EMBO Journal	6	 	10.124	9.369	1	48
Limnology and oceanography	8	 	3.385	4.004	1	63
Current Biology	8	 	10.026	11.436	1	45
Molecular Microbiology	6	 	4.819	5.207	1	26
Science (New York)	8	 	31.377	31.777	1	37
Nature	6	8	36.104	35.248	2	134
The EMBO Journal	8	 	10.124	9.369	1	63
Molecular Microbiology	8	 	4.819	5.207	1	69
Molecular and Cellular Biology	6	 	6.188	6.381	1	24
Current Biology	6	 	10.026	11.436	1	113
Science (New York)	8	6	31.377	31.777	2	149
The Journal of Cell Biology	8	6	9.921	10.123	2	46
Journal of Virology	6	 	5.189	5.257	1	84
The Journal of Biological Chemistry	6	 	5.328	5.498	1	58
The Journal of Biological Chemistry	6	 	5.328	5.498	1	89
RNA (New York)	6	6	6.051	5.486	2	227
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	26
Genetics	6	 	4.087	4.311	1	42
Aging Cell	6	 	7.148	7.978	1	50
Journal of Bacteriology	8	 	3.726	3.818	1	272
Nature	8	8	36.104	35.248	2	222
Cellular Microbiology	6	6	5.625	5.428	2	57
The Plant Cell	8	 	9.396	10.648	1	75
Molecular Ecology	6	 	6.457	6.633	1	137
Science (New York)	6	 	31.377	31.777	1	155
Ecology	6	 	5.073	6.218	1	146
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	18
Science (New York)	8	8	31.377	31.777	2	77
American Journal of Human Genetics	6	 	11.68	12.265	1	28
Developmental Cell	8	 	13.946	14.24	1	245
Journal of the American Chemical Society	6	 	9.023	8.981	1	21
Physiological Genomics	6	 	3.368	3.943	1	30
Nature	6	 	36.104	35.248	1	138
Genome Biology	6	 	6.885	7.354	1	59
The Plant Cell	10	 	9.396	10.648	1	209
Sleep	6	 	5.486	6.116	1	72
Molecular Biology of the Cell	8	 	5.861	5.949	1	34
Journal of Neurophysiology	6	 	3.114	3.686	1	50
Journal of Vision	8	 	2.826	3.238	1	48
Cell	8	8	32.406	34.931	2	77
Genomics	6	 	3.327	3.214	1	18
Molecular Biology of the Cell	6	 	5.861	5.949	1	95
Immunity	8	 	24.221	22.133	1	147
Journal of Medicinal Chemistry	6	 	5.207	5.18	1	145
Development	6	 	6.898	7.476	1	30
The EMBO Journal	6	 	10.124	9.369	1	126
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	47
Science (New York)	6	8	31.377	31.777	2	200
Molecular and Cellular Biology	6	 	6.188	6.381	1	28
Development	6	 	6.898	7.476	1	61
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	47
The Journal of Experimental Medicine	8	 	14.776	15.7	1	101
Molecular Biology of the Cell	8	 	5.861	5.949	1	89
Biostatistics	6	 	2.769	3.303	1	36
Journal of Immunology	8	6	5.745	5.909	2	46
Development	6	8	6.898	7.476	2	68
Journal of Immunology	6	 	5.745	5.909	1	41
Genes &amp; Development	6	 	12.889	13.892	1	116
"Alcoholism, Clinical and Experimental Research"	6	 	3.468	3.557	1	15
Nature	8	6	36.104	35.248	2	62
Development	6	 	6.898	7.476	1	11
The Journal of Biological Chemistry	10	 	5.328	5.498	1	61
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	107
Biophysical Journal	8	 	4.218	4.692	1	23
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	190
"Bioessays: News and Reviews in Molecular, Cellular and Developmental Biology"	8	 	4.479	5.016	1	26
Proteins	6	 	2.813	3.181	1	9
Molecular Microbiology	8	 	4.819	5.207	1	39
Journal of Bacteriology	6	 	3.726	3.818	1	99
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	13
Developmental Cell	10	 	13.946	14.24	1	49
Nature	6	6	36.104	35.248	2	16
Biochemistry	6	 	3.226	3.15	1	22
Cell	6	 	32.406	34.931	1	146
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	51
Biochemistry	6	 	3.226	3.15	1	11
Oncogene	6	 	7.414	7.109	1	7
The Journal of Biological Chemistry	8	8	5.328	5.498	2	95
Development	6	 	6.898	7.476	1	38
Current Biology	6	6	10.026	11.436	2	93
The Plant Cell	6	 	9.396	10.648	1	127
Nature	8	 	36.104	35.248	1	50
Science (New York)	6	8	31.377	31.777	2	351
Journal of the American Chemical Society	10	 	9.023	8.981	1	135
Journal of the American Chemical Society	6	 	9.023	8.981	1	2
Molecular and Cellular Biology	6	 	6.188	6.381	1	79
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	107
Proceedings of the National Academy of Sciences of the United States of America	10	10	9.771	10.591	2	210
The Journal of Neuroscience	8	 	7.271	8.068	1	272
Nature Medicine	8	 	25.43	27.887	1	261
Current Biology	6	 	10.026	11.436	1	23
Nature	6	10	36.104	35.248	2	174
Journal of the American Chemical Society	10	 	9.023	8.981	1	58
Nature Immunology	10	 	25.668	25.934	1	80
Journal of the American Society of Nephrology	8	 	8.288	7.96	1	46
Science (New York)	6	 	31.377	31.777	1	99
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	47
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	38
Science (New York)	6	 	31.377	31.777	1	92
Neuron	6	 	14.027	14.927	1	30
Molecular Cell	6	6	14.194	14.447	2	78
Cancer Cell	6	 	26.925	28.438	1	697
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	38
Journal of Immunology	6	 	5.745	5.909	1	55
The Journal of Clinical Investigation	6	 	14.152	16.641	1	156
Infection and Immunity	8	 	4.098	4.091	1	25
Molecular Microbiology	8	8	4.819	5.207	2	89
Nature Immunology	8	 	25.668	25.934	1	108
FEMS Microbiology Letters	8	 	2.04	2.269	1	11
Science (New York)	6	6	31.377	31.777	2	76
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	33
Journal of Bacteriology	8	 	3.726	3.818	1	38
The Journal of Biological Chemistry	6	 	5.328	5.498	1	52
Genetics	6	 	4.087	4.311	1	57
Plasmid	6	 	1.798	1.824	1	11
Plant Physiology	8	 	6.451	7.016	1	243
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	315
Journal of Molecular Biology	6	 	4.008	4.095	1	30
Journal of the American Chemical Society	8	 	9.023	8.981	1	137
Protein Expression and Purification	6	 	1.644	1.925	1	4
Gene	6	 	2.266	2.61	1	78
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	178
Development	8	 	6.898	7.476	1	34
Nucleic Acids Research	6	 	7.836	7.314	1	36
Trends in Plant Science	8	 	10.095	10.736	1	158
The New Phytologist	6	 	6.516	6.598	1	59
The Journal of Neuroscience	10	 	7.271	8.068	1	45
Gene	6	 	2.266	2.61	1	36
Science (New York)	8	 	31.377	31.777	1	61
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	79
Genetics	6	 	4.087	4.311	1	42
Nature Cell Biology	6	 	19.407	19.578	1	158
Nature Cell Biology	8	6	19.407	19.578	2	188
PLoS Biology	10	 	12.472	14.376	1	29
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	213
Journal of Cognitive Neuroscience	8	 	5.357	6.28	1	75
Nature Cell Biology	6	 	19.407	19.578	1	137
Molecular Cell	6	 	14.194	14.447	1	57
Neuropharmacology	6	 	4.677	3.901	1	69
"Plant, Cell &amp; Environment"	6	 	5.145	5.618	1	32
Nature	6	 	36.104	35.248	1	127
General and Comparative Endocrinology	6	 	3.108	2.921	1	41
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	84
Journal of Applied Physiology	6	 	4.235	4.216	1	8
The Journal of Biological Chemistry	8	 	5.328	5.498	1	121
Current Biology	8	 	10.026	11.436	1	70
Neuron	8	8	14.027	14.927	2	211
Journal of Bacteriology	6	 	3.726	3.818	1	154
Biochemistry	6	 	3.226	3.15	1	19
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	51
The Journal of Biological Chemistry	8	 	5.328	5.498	1	115
Journal of Cell Science	6	 	6.29	6.731	1	27
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	42
Nature	8	8	36.104	35.248	2	108
The Prostate	6	 	3.377	3.161	1	37
Science (New York)	8	 	31.377	31.777	1	409
Molecular Microbiology	6	 	4.819	5.207	1	29
