Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Nucleic Acids Research	8	 	7.836	7.314	1	452
The American Naturalist	6	 	4.736	5.385	1	96
Genome Research	10	 	13.588	11.971	1	63
Nature	6	8	36.104	35.248	2	126
Journal of the American Chemical Society	8	10	9.023	8.981	2	33
Neuron	6	8	14.027	14.927	2	67
PLoS Computational Biology	6	 	5.515	6.251	1	38
Chemical Communications	6	 	5.787	5.582	1	4
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	116
The Journal of Neuroscience	8	 	7.271	8.068	1	26
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	20
Cell	8	 	32.406	34.931	1	310
Immunity	6	8	24.221	22.133	2	101
Molecular Cell	6	 	14.194	14.447	1	58
Applied and Environmental Microbiology	6	 	3.778	4.529	1	65
Journal of Immunology	6	 	5.745	5.909	1	222
Science (New York)	6	6	31.377	31.777	2	80
The Journal of Experimental Medicine	8	 	14.776	15.7	1	225
Spine	6	 	2.51	3.338	1	48
The Journal of Biological Chemistry	10	 	5.328	5.498	1	56
PLoS Biology	8	6	12.472	14.376	2	132
Trends in Ecology &amp; Evolution	6	 	14.448	17.735	1	102
Emerging Infectious Diseases	8	 	6.859	6.996	1	38
Genome Research	6	8	13.588	11.971	2	110
Cell Death and Differentiation	6	 	9.05	8.674	1	93
Journal of Orthopaedic Research	6	 	2.976	3.379	1	50
The EMBO Journal	6	 	10.124	9.369	1	65
Science (New York)	6	10	31.377	31.777	2	298
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	41
Journal of the American Chemical Society	6	 	9.023	8.981	1	45
Biophysical Journal	6	 	4.218	4.692	1	12
Journal of the American Chemical Society	8	6	9.023	8.981	2	86
Infection and Immunity	6	 	4.098	4.091	1	38
Proteomics	6	 	4.815	4.94	1	116
Infection and Immunity	6	 	4.098	4.091	1	27
The New England Journal of Medicine	6	6	53.486	52.363	2	256
Molecular Systems Biology	6	 	9.667	13.327	1	193
The Journal of Biological Chemistry	8	 	5.328	5.498	1	25
Genetics	6	 	4.087	4.311	1	9
Journal of the American Society of Nephrology	6	 	8.288	7.96	1	113
The Plant Cell	6	6	9.396	10.648	2	32
Nature	8	6	36.104	35.248	2	192
The EMBO Journal	8	8	10.124	9.369	2	100
Nature Medicine	8	8	25.43	27.887	2	236
Journal of Computational Biology	6	 	1.6	2.033	1	5
Proceedings of the National Academy of Sciences of the United States of America	10	10	9.771	10.591	2	251
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	103
Current Biology	6	6	10.026	11.436	2	110
Cell	6	6	32.406	34.931	2	173
Development	6	 	6.898	7.476	1	11
FEBS Letters	6	 	3.601	3.399	1	16
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	37
Molecular &amp; Cellular Proteomics	6	 	8.354	9.392	1	75
The New England Journal of Medicine	6	 	53.486	52.363	1	479
Journal of Molecular Biology	8	 	4.008	4.095	1	21
Cell Calcium	8	 	3.553	4.165	1	27
Wound Repair and Regeneration	6	 	3.443	3.288	1	69
The FASEB Journal	6	 	6.515	7.201	1	63
PLoS Pathogens	6	 	9.079	9.675	1	186
Nature Medicine	6	 	25.43	27.887	1	239
Current Biology	6	 	10.026	11.436	1	69
Behavioral Neuroscience	6	 	2.481	2.676	1	29
Journal of Magnetic Resonance	6	 	2.333	2.355	1	31
Angewandte Chemie	6	 	12.73	12.05	1	3
Genes &amp; Development	8	 	12.889	13.892	1	25
Science (New York)	6	6	31.377	31.777	2	349
Genome Research	6	 	13.588	11.971	1	83
Genetics	6	 	4.087	4.311	1	34
Nature	8	6	36.104	35.248	2	47
Immunity	6	8	24.221	22.133	2	57
The Journal of Membrane Biology	6	 	1.63	2.423	1	9
The Journal of Antimicrobial Chemotherapy	6	 	4.659	4.48	1	51
Nature Medicine	8	8	25.43	27.887	2	47
The Journal of Experimental Medicine	6	 	14.776	15.7	1	311
Cell	6	8	32.406	34.931	2	142
Microbiology	6	 	0.813	0.903	1	50
Applied and Environmental Microbiology	6	 	3.778	4.529	1	43
The EMBO Journal	6	6	10.124	9.369	2	215
Science (New York)	8	 	31.377	31.777	1	347
Nature	6	8	36.104	35.248	2	227
Clinical Infectious Diseases	6	 	8.186	7.898	1	25
Blood	6	 	10.558	10.075	1	52
Antimicrobial Agents and Chemotherapy	8	 	4.672	4.68	1	82
Mediators of Inflammation	6	 	2.059	2.147	1	31
Developmental Cell	6	 	13.946	14.24	1	253
The Journal of Neuroscience	6	6	7.271	8.068	2	127
The Journal of Neuroscience	6	 	7.271	8.068	1	109
Biology Letters	6	 	3.651	3.821	1	21
Molecular Cell	6	 	14.194	14.447	1	43
Nature Cell Biology	8	 	19.407	19.578	1	51
Vox Sanguinis	8	 	3.292	2.799	1	44
Journal of Bacteriology	6	 	3.726	3.818	1	22
Neuroimage	6	 	5.937	6.821	1	29
Molecular Plant-Microbe Interactions	6	 	4.01	4.526	1	37
Nature	8	10	36.104	35.248	2	155
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	24
Network	6	 	0.957	1.667	1	20
"American Journal of Physiology. Regulatory, Integrative and Comparative Physiology"	6	 	3.284	3.395	1	16
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	32
The Journal of Cell Biology	6	 	9.921	10.123	1	205
Nature	6	 	36.104	35.248	1	374
Science (New York)	8	6	31.377	31.777	2	1377
The Plant Cell	6	 	9.396	10.648	1	81
FEBS Letters	6	8	3.601	3.399	2	22
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	43
Cell	6	6	32.406	34.931	2	65
Genetics in Medicine	8	 	5.28	4.653	1	77
Gastroenterology	6	 	12.032	12.403	1	61
Cell	8	10	32.406	34.931	2	357
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	17
The Journal of Cell Biology	6	 	9.921	10.123	1	79
Plant Physiology	8	 	6.451	7.016	1	69
The American Naturalist	6	 	4.736	5.385	1	40
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	47
American Journal of Human Genetics	6	 	11.68	12.265	1	32
The Journal of Biological Chemistry	6	 	5.328	5.498	1	6
Nano Letters	8	 	12.219	12.832	1	71
Science (New York)	6	 	31.377	31.777	1	238
Cell	6	10	32.406	34.931	2	87
The Science of the Total Environment	6	 	3.19	3.366	1	21
Journal of Gastrointestinal Surgery	8	 	2.733	2.787	1	94
Journal of Molecular and Cellular Cardiology	8	 	5.499	5.376	1	51
Evolution; International Journal of Organic Evolution	8	 	5.659	6.041	1	37
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	62
Cell	10	 	32.406	34.931	1	489
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	29
