Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,21,6,Richmond,December,2014,2011
ADULT,13,0,Ortega,July,2012,2012
ADULT,7,12,Chinatown,January,2016,2003
WELCOME,0,0,Main Library,December,2014,2014
ADULT,10,0,Main Library,July,2016,2016
JUVENILE,11,13,Bayview/Linda Brooks-Burton,May,2013,2013
ADULT,10,6,Main Library,November,2014,2010
JUVENILE,82,30,Richmond,July,2016,2015
ADULT,75,1,Main Library,December,2015,2009
ADULT,37,0,Mission Bay,July,2016,2016
YOUNG ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Main Library,April,2014,2014
ADULT,5,4,Excelsior,January,2014,2008
ADULT,20,0,Mission Bay,May,2016,2016
WELCOME,1,0,Bayview/Linda Brooks-Burton,April,2016,2013
ADULT,0,0,Mission,None,None,2016
ADULT,6,0,Mission Bay,June,2015,2014
ADULT,36,2,Main Library,June,2016,2016
ADULT,49,9,Eureka Valley/Harvey Milk Memorial,June,2016,2007
ADULT,0,0,Mission,None,None,2013
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,Main Library,None,None,2016
YOUNG ADULT,2,0,Ortega,July,2015,2006
ADULT,0,0,Ortega,August,2015,2015
JUVENILE,25,0,Main Library,May,2015,2012
ADULT,497,20,Main Library,October,2014,2010
ADULT,871,104,Excelsior,July,2016,2003
ADULT,1861,86,Main Library,July,2016,2003
SENIOR,98,12,Chinatown,July,2016,2015
JUVENILE,130,0,Richmond,October,2014,2010
ADULT,0,0,Mission Bay,None,None,2014
ADULT,675,250,Ortega,May,2016,2003
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,6,0,Excelsior,August,2014,2014
ADULT,13,11,Main Library,January,2016,2015
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2015
ADULT,19,0,Visitacion Valley,September,2015,2012
ADULT,180,74,Mission,July,2014,2003
JUVENILE,79,74,Bernal Heights,July,2016,2011
SENIOR,539,242,Bernal Heights,July,2016,2003
SENIOR,0,0,Chinatown,None,None,2014
ADULT,7,0,Parkside,June,2015,2013
ADULT,32,8,Chinatown,April,2016,2006
ADULT,0,0,Main Library,None,None,2015
ADULT,2307,44,Eureka Valley/Harvey Milk Memorial,July,2016,2012
ADULT,231,93,Ortega,May,2014,2003
SENIOR,181,80,Ortega,November,2013,2003
SENIOR,50,5,Main Library,August,2015,2003
ADULT,34,13,Richmond,March,2013,2006
ADULT,4,8,Chinatown,January,2013,2012
ADULT,345,63,Anza,June,2015,2003
ADULT,39,39,Merced,October,2013,2003
ADULT,98,3,Chinatown,April,2011,2003
YOUNG ADULT,864,132,West Portal,February,2016,2003
ADULT,156,50,Richmond,August,2011,2011
ADULT,4,0,Main Library,October,2012,2008
JUVENILE,471,619,Presidio,June,2016,2011
ADULT,0,0,Visitacion Valley,None,None,2016
WELCOME,0,0,Mission Bay,None,None,2014
JUVENILE,99,184,Presidio,July,2016,2016
ADULT,0,0,Main Library,None,None,2010
JUVENILE,18,0,Main Library,November,2014,2014
ADULT,0,0,Main Library,None,None,2015
ADULT,8,0,Main Library,October,2013,2013
ADULT,0,0,Main Library,None,None,2013
JUVENILE,0,0,Visitacion Valley,None,None,2016
JUVENILE,72,4,Mission,August,2015,2008
SENIOR,4,4,Parkside,April,2015,2014
ADULT,141,40,Ingleside,April,2014,2008
ADULT,2,2,North Beach,June,2016,2016
ADULT,19,1,Mission,November,2014,2009
JUVENILE,34,3,Mission,January,2014,2010
YOUNG ADULT,0,0,Main Library,None,None,2016
ADULT,11,6,Main Library,October,2015,2011
ADULT,2,4,Main Library,May,2015,2015
ADULT,5,0,Merced,September,2014,2003
SENIOR,148,1,Ingleside,November,2014,2003
WELCOME,2,0,Main Library,January,2015,2014
JUVENILE,26,2,Mission,April,2015,2014
YOUNG ADULT,94,11,Chinatown,June,2016,2013
JUVENILE,12,0,Mission,February,2015,2013
ADULT,2,0,Main Library,December,2013,2012
ADULT,23,0,Merced,May,2016,2003
YOUNG ADULT,0,0,Main Library,None,None,2014
SENIOR,62,4,Chinatown,April,2014,2008
ADULT,53,19,Eureka Valley/Harvey Milk Memorial,June,2016,2003
ADULT,163,35,Main Library,November,2014,2012
JUVENILE,1,0,Potrero,November,2012,2012
ADULT,2,6,Mission,August,2013,2013
ADULT,0,0,Park,December,2015,2015
ADULT,30,2,Excelsior,December,2015,2007
ADULT,25,8,Main Library,July,2016,2016
SENIOR,793,78,Western Addition,July,2016,2003
ADULT,178,35,Main Library,November,2015,2010
ADULT,0,0,Main Library,None,None,2012
SENIOR,96,0,North Beach,October,2014,2013
JUVENILE,5,5,West Portal,January,2016,2012
SENIOR,25,6,Potrero,September,2013,2003
SENIOR,2,0,West Portal,September,2015,2008
ADULT,43,16,Potrero,January,2016,2003
ADULT,5,0,Anza,April,2013,2013
ADULT,69,0,Excelsior,February,2014,2010
ADULT,33,48,Mission,October,2013,2008
JUVENILE,28,0,Glen Park,November,2014,2010
ADULT,2,0,Visitacion Valley,August,2013,2013
WELCOME,2,0,Main Library,April,2013,2012
ADULT,0,0,Parkside,None,None,2015
ADULT,1307,991,Unknown,July,2016,2003
ADULT,49,56,Mission,July,2016,2014
SENIOR,5,0,West Portal,December,2015,2011
SENIOR,291,76,Ingleside,July,2016,2003
JUVENILE,393,13,Sunset,July,2015,2004
ADULT,136,62,Mission Bay,October,2015,2014
YOUNG ADULT,548,293,Parkside,May,2016,2008
ADULT,0,0,Sunset,None,None,2011
ADULT,26,62,Richmond,July,2014,2014
ADULT,9,0,North Beach,July,2016,2015
ADULT,16,5,Eureka Valley/Harvey Milk Memorial,April,2016,2011
ADULT,1,0,Main Library,July,2015,2015
ADULT,1,1,Main Library,February,2016,2016
ADULT,0,0,Merced,None,None,2012
ADULT,65,128,Main Library,February,2015,2013
JUVENILE,3,0,North Beach,October,2015,2013
WELCOME,0,0,Richmond,November,2013,2013
ADULT,458,75,West Portal,March,2016,2007
ADULT,13,12,Chinatown,October,2014,2008
SENIOR,62,7,Ortega,May,2016,2003
ADULT,32,10,Richmond,July,2016,2008
ADULT,1100,144,Mission,December,2011,2003
JUVENILE,0,0,Bayview/Linda Brooks-Burton,None,None,2015
YOUNG ADULT,56,3,Sunset,July,2015,2003
JUVENILE,35,18,Merced,July,2016,2015
ADULT,768,707,Anza,May,2016,2008
YOUNG ADULT,1,0,Parkside,April,2016,2015
ADULT,0,0,Mission,January,2014,2003
ADULT,9,0,Merced,August,2013,2008
ADULT,186,19,Bernal Heights,November,2013,2003
ADULT,0,0,North Beach,None,None,2014
JUVENILE,212,98,Anza,April,2016,2008
ADULT,751,181,Richmond,June,2016,2005
ADULT,0,0,Main Library,None,None,2010
ADULT,5,0,Bayview/Linda Brooks-Burton,February,2015,2014
ADULT,23,27,Main Library,November,2009,2007
ADULT,7,0,Merced,July,2004,2003
ADULT,49,14,Potrero,June,2014,2011
SENIOR,3,0,West Portal,April,2011,2008
ADULT,456,5,Main Library,December,2015,2011
SENIOR,1069,901,Main Library,July,2016,2003
ADULT,21,8,Richmond,June,2016,2014
ADULT,171,418,Bernal Heights,July,2016,2003
JUVENILE,71,12,Sunset,May,2015,2012
ADULT,0,0,Main Library,March,2015,2015
ADULT,44,33,Ortega,October,2008,2003
SENIOR,3,3,Bernal Heights,October,2014,2011
ADULT,7,4,Main Library,December,2014,2006
ADULT,79,0,Richmond,July,2016,2005
JUVENILE,100,0,Excelsior,July,2016,2014
WELCOME,1,1,North Beach,December,2014,2014
ADULT,0,0,Main Library,None,None,2012
ADULT,95,66,Richmond,March,2015,2005
JUVENILE,0,0,Bernal Heights,None,None,2014
ADULT,0,0,Main Library,None,None,2013
ADULT,48,26,Chinatown,June,2016,2010
ADULT,4,6,Mission,November,2015,2014
ADULT,1,0,Chinatown,July,2015,2015
ADULT,3,3,Noe Valley/Sally Brunn,February,2013,2012
ADULT,43,71,Excelsior,May,2016,2012
ADULT,20,0,Marina,August,2015,2015
ADULT,0,0,Main Library,None,None,2012
YOUNG ADULT,0,0,Main Library,None,None,2015
JUVENILE,879,52,Richmond,July,2016,2012
JUVENILE,4,0,Portola,April,2016,2016
ADULT,555,0,Ortega,July,2016,2014
ADULT,5,0,Main Library,March,2016,2015
ADULT,0,0,Mission Bay,None,None,2012
ADULT,1608,2126,Main Library,November,2011,2003
ADULT,18,27,Main Library,June,2016,2016
SENIOR,292,22,Chinatown,November,2013,2003
JUVENILE,435,72,Ortega,February,2014,2007
ADULT,68,19,Noe Valley/Sally Brunn,July,2016,2016
ADULT,4,0,Ingleside,March,2016,2016
SENIOR,712,1421,West Portal,July,2016,2003
ADULT,57,6,Marina,October,2013,2009
ADULT,0,0,Main Library,None,None,2013
ADULT,66,3,Excelsior,July,2016,2003
ADULT,1697,600,Presidio,July,2016,2003
ADULT,1,0,Main Library,October,2015,2015
JUVENILE,91,14,Golden Gate Valley,June,2015,2012
ADULT,17,33,Main Library,January,2016,2007
ADULT,55,65,Sunset,July,2013,2008
ADULT,291,65,Portola,July,2016,2003
JUVENILE,102,9,Ortega,July,2016,2014
ADULT,0,0,Excelsior,None,None,2014
ADULT,954,177,Main Library,July,2016,2003
ADULT,42,50,Main Library,September,2014,2008
JUVENILE,38,0,Richmond,July,2016,2016
ADULT,35,38,West Portal,July,2016,2014
ADULT,0,0,Mission Bay,None,None,2016
ADULT,44,36,Sunset,August,2015,2012
JUVENILE,81,20,Mission,April,2015,2009
ADULT,6,0,Main Library,February,2016,2013
ADULT,23,4,Presidio,November,2014,2010
ADULT,106,4,Mission,October,2015,2007
SENIOR,55,11,Richmond,September,2013,2010
SENIOR,8,1,Glen Park,March,2016,2014
ADULT,0,0,Main Library,None,None,2013
ADULT,49,21,Marina,April,2014,2003
JUVENILE,19,0,Richmond,June,2015,2015
YOUNG ADULT,159,45,Sunset,July,2015,2003
SENIOR,0,0,Mission Bay,None,None,2014
ADULT,29,19,Sunset,March,2013,2012
JUVENILE,10,0,Mission,November,2014,2014
SENIOR,5372,484,West Portal,July,2016,2003
ADULT,83,64,Ingleside,July,2016,2011
SENIOR,7,2,Ortega,March,2015,2014
SENIOR,46,0,Main Library,June,2016,2003
ADULT,10,12,Main Library,November,2015,2011
JUVENILE,418,13,Chinatown,July,2016,2011
ADULT,4,4,Richmond,August,2014,2014
ADULT,641,222,Bernal Heights,April,2016,2003
ADULT,29,3,Eureka Valley/Harvey Milk Memorial,November,2015,2006
SENIOR,68,12,Main Library,July,2016,2003
ADULT,6,6,Main Library,December,2015,2015
JUVENILE,9,14,Main Library,June,2016,2016
ADULT,0,0,West Portal,None,None,2014
WELCOME,0,0,Main Library,None,None,2016
JUVENILE,21,4,Noe Valley/Sally Brunn,July,2016,2015
JUVENILE,26,0,Main Library,February,2016,2012
ADULT,112,21,Main Library,July,2016,2009
ADULT,1,0,Marina,August,2013,2011
ADULT,8,14,Sunset,November,2013,2013
ADULT,3,0,Park,March,2013,2013
ADULT,2,0,Main Library,August,2013,2013
ADULT,0,0,Main Library,None,None,2016
ADULT,0,0,Main Library,None,None,2012
ADULT,24,2,Bernal Heights,July,2016,2015
JUVENILE,241,502,Ortega,July,2016,2015
ADULT,0,0,Presidio,None,None,2015
SENIOR,0,0,West Portal,None,None,2014
ADULT,3,0,Ortega,October,2012,2012
ADULT,0,0,Main Library,None,None,2015
ADULT,159,19,Marina,November,2015,2014
ADULT,992,219,West Portal,July,2016,2009
ADULT,0,0,Main Library,None,None,2016
ADULT,121,5,Richmond,February,2016,2006
ADULT,0,0,Anza,None,None,2014
ADULT,0,0,Main Library,None,None,2016
ADULT,0,0,Bernal Heights,None,None,2016
ADULT,225,391,Presidio,July,2016,2013
ADULT,26,0,West Portal,December,2014,2010
JUVENILE,463,1,Richmond,May,2015,2011
ADULT,67,12,North Beach,October,2008,2003
ADULT,871,221,Mission,July,2016,2009
ADULT,430,0,Sunset,July,2016,2010
SENIOR,187,346,Marina,December,2011,2003
ADULT,15,24,Richmond,March,2013,2010
ADULT,106,54,Mission,January,2014,2003
ADULT,3,0,Excelsior,March,2007,2007
ADULT,0,0,Main Library,None,None,2013
YOUNG ADULT,9,0,Main Library,May,2016,2016
YOUNG ADULT,0,0,Main Library,None,None,2014
ADULT,1,5,Main Library,September,2014,2014
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,12,2,Chinatown,January,2016,2005
ADULT,3090,78,Parkside,July,2016,2006
ADULT,0,0,Glen Park,None,None,2016
ADULT,0,0,Mission,None,None,2015
YOUNG ADULT,10,0,Main Library,January,2016,2007
ADULT,27,14,Eureka Valley/Harvey Milk Memorial,November,2013,2003
SENIOR,3,3,Western Addition,April,2015,2015
ADULT,1,0,Presidio,May,2015,2015
ADULT,0,0,Chinatown,None,None,2013
JUVENILE,4,0,Ingleside,September,2013,2012
YOUNG ADULT,78,0,Excelsior,October,2013,2007
ADULT,168,172,West Portal,December,2015,2009
ADULT,0,0,Excelsior,None,None,2016
ADULT,0,0,Presidio,December,2015,2015
JUVENILE,2,0,West Portal,June,2016,2013
ADULT,254,257,Marina,October,2015,2003
ADULT,8,2,Main Library,May,2016,2015
ADULT,0,0,Ocean View,None,None,2015
ADULT,8,23,Main Library,July,2015,2012
ADULT,24,0,Unknown,July,2016,2016
ADULT,61,38,West Portal,May,2009,2003
SENIOR,32,0,Parkside,January,2014,2008
JUVENILE,23,0,Portola,June,2013,2012
ADULT,68,25,West Portal,July,2016,2010
SENIOR,57,4,Presidio,November,2014,2007
SENIOR,21,0,Portola,January,2015,2014
ADULT,2,0,Main Library,October,2015,2003
ADULT,219,351,Park,July,2016,2003
WELCOME,2,0,West Portal,June,2014,2012
ADULT,2125,289,Portola,July,2016,2003
YOUNG ADULT,124,0,Portola,July,2014,2009
ADULT,63,33,Main Library,April,2016,2011
ADULT,34,1,Main Library,December,2014,2007
ADULT,0,0,Ortega,None,None,2012
ADULT,416,677,Sunset,February,2015,2003
ADULT,5,9,Main Library,December,2013,2013
ADULT,3,0,Visitacion Valley,April,2015,2009
ADULT,38,0,Chinatown,May,2011,2005
ADULT,135,40,Ortega,December,2015,2003
JUVENILE,530,275,West Portal,July,2016,2012
JUVENILE,1,0,Portola,September,2015,2014
SENIOR,23,6,West Portal,April,2015,2003
ADULT,135,130,Western Addition,December,2015,2003
ADULT,5,4,Main Library,March,2014,2013
TEACHER CARD,3,0,Visitacion Valley,April,2015,2014
ADULT,334,251,Western Addition,December,2014,2006
JUVENILE,78,1,Chinatown,July,2016,2009
SENIOR,376,81,Sunset,September,2013,2003
WELCOME,0,0,Golden Gate Valley,October,2015,2015
ADULT,34,0,Main Library,July,2013,2003
ADULT,0,0,Sunset,None,None,2015
SENIOR,1,0,Merced,January,2013,2013
YOUNG ADULT,249,17,Western Addition,December,2015,2014
ADULT,146,0,Main Library,April,2015,2011
SENIOR,597,56,Parkside,July,2016,2010
ADULT,0,0,Main Library,None,None,2009
ADULT,0,0,Bernal Heights,None,None,2016
ADULT,8,0,Main Library,May,2016,2011
SENIOR,32,2,Main Library,July,2014,2003
ADULT,12,2,Main Library,January,2014,2013
ADULT,18,0,Excelsior,September,2014,2007
ADULT,0,0,Sunset,None,None,2014
ADULT,9,16,Main Library,January,2013,2012
ADULT,35,2,Main Library,January,2014,2010
ADULT,0,0,Main Library,None,None,2013
ADULT,2,0,West Portal,November,2013,2013
SENIOR,7,0,Main Library,September,2013,2008
ADULT,39,23,Golden Gate Valley,January,2014,2010
ADULT,907,52,Western Addition,July,2016,2005
SENIOR,14,1,Noe Valley/Sally Brunn,July,2016,2014
ADULT,0,0,West Portal,None,None,2014
ADULT,232,28,Bernal Heights,March,2012,2003
ADULT,8,10,Noe Valley/Sally Brunn,March,2014,2013
ADULT,146,182,Richmond,February,2014,2010
SENIOR,1754,38,Main Library,July,2016,2003
ADULT,36,81,Main Library,September,2015,2011
WELCOME,2,0,Park,December,2014,2014
ADULT,25,14,Main Library,September,2015,2007
ADULT,0,0,Ingleside,None,None,2016
ADULT,2,0,North Beach,June,2013,2013
YOUNG ADULT,3,1,Parkside,July,2015,2006
YOUNG ADULT,134,14,Ingleside,January,2016,2004
ADULT,32,20,Merced,June,2014,2003
JUVENILE,10,0,Parkside,May,2016,2016
ADULT,1,2,Main Library,February,2015,2014
ADULT,1,0,Main Library,March,2015,2015
ADULT,25,32,Presidio,April,2016,2014
ADULT,7,2,Main Library,February,2013,2010
ADULT,0,0,Western Addition,None,None,2010
SENIOR,50,3,Mission,July,2016,2003
ADULT,503,131,Eureka Valley/Harvey Milk Memorial,March,2014,2003
ADULT,20,52,Richmond,December,2013,2013
ADULT,1,0,Main Library,May,2016,2016
JUVENILE,0,0,Bernal Heights,None,None,2015
YOUNG ADULT,0,0,Main Library,None,None,2015
SENIOR,0,0,Main Library,None,None,2014
ADULT,1,0,Main Library,June,2008,2008
ADULT,3,0,Bayview/Linda Brooks-Burton,February,2014,2013
YOUNG ADULT,163,7,Richmond,January,2015,2008
ADULT,1,0,Excelsior,January,2014,2013
ADULT,10,14,Mission,December,2015,2013
YOUNG ADULT,71,37,Excelsior,September,2013,2007
SENIOR,21,0,Glen Park,July,2016,2008
ADULT,3,6,Presidio,June,2016,2013
ADULT,151,28,Main Library,December,2015,2011
ADULT,163,7,Mission,December,2014,2005
SENIOR,0,0,West Portal,None,None,2014
JUVENILE,16,0,Bernal Heights,May,2016,2016
ADULT,63,7,Sunset,May,2016,2007
ADULT,21,1,Mission,July,2016,2016
WELCOME,1,0,Mission Bay,April,2013,2012
ADULT,1192,1,Main Library,January,2016,2003
JUVENILE,16,2,Ingleside,July,2016,2016
ADULT,52,31,Mission Bay,July,2016,2010
JUVENILE,493,8,Noe Valley/Sally Brunn,April,2016,2009
ADULT,9,15,Main Library,July,2016,2015
WELCOME,2,0,Park,July,2013,2013
SENIOR,70,65,Marina,May,2016,2003
YOUNG ADULT,1,1,Ingleside,December,2013,2008
JUVENILE,0,0,Glen Park,None,None,2015
YOUNG ADULT,72,2,Western Addition,June,2014,2008
ADULT,2715,23,Chinatown,October,2014,2003
ADULT,547,244,Park,August,2015,2004
ADULT,238,23,Main Library,September,2014,2003
ADULT,0,0,Mission Bay,None,None,2016
SENIOR,5,4,Anza,March,2015,2015
YOUNG ADULT,627,36,Main Library,July,2013,2004
ADULT,0,0,Chinatown,None,None,2016
ADULT,0,0,Main Library,None,None,2013
ADULT,1151,60,Main Library,July,2016,2005
JUVENILE,1847,342,West Portal,June,2016,2008
ADULT,372,281,Merced,July,2016,2005
ADULT,1007,246,Main Library,March,2015,2012
JUVENILE,0,0,Mission,None,None,2016
ADULT,12,4,Richmond,May,2016,2015
ADULT,2,3,North Beach,July,2013,2013
JUVENILE,121,24,Glen Park,May,2016,2014
YOUNG ADULT,14,4,Bayview/Linda Brooks-Burton,November,2015,2006
JUVENILE,43,8,Richmond,September,2015,2010
SENIOR,2612,101,Excelsior,July,2016,2003
ADULT,5,0,Ortega,August,2012,2012
ADULT,0,0,Potrero,None,None,2012
ADULT,22,7,Richmond,December,2014,2003
SENIOR,1744,3,Chinatown,February,2016,2003
ADULT,14,0,Chinatown,April,2015,2014
ADULT,110,26,Marina,July,2016,2010
YOUNG ADULT,441,16,Richmond,May,2016,2004
ADULT,8,1,Main Library,December,2014,2008
JUVENILE,1413,42,Unknown,July,2016,2009
ADULT,130,96,Main Library,December,2014,2003
ADULT,144,162,Main Library,June,2014,2003
WELCOME,0,0,Ortega,None,None,2013
ADULT,5,2,Main Library,May,2016,2011
SENIOR,1,0,Main Library,June,2013,2003
YOUNG ADULT,2,2,Visitacion Valley,August,2015,2009
JUVENILE,3,0,Anza,October,2013,2013
ADULT,0,0,Richmond,None,None,2009
ADULT,0,0,Presidio,None,None,2013
ADULT,29,5,Ingleside,August,2015,2010
ADULT,4,0,Main Library,May,2013,2013
ADULT,375,179,Ingleside,June,2013,2003
ADULT,457,58,Main Library,July,2016,2009
ADULT,15,9,Marina,July,2016,2015
SENIOR,129,47,Main Library,July,2016,2003
YOUNG ADULT,0,0,Park,None,None,2015
WELCOME,0,0,Main Library,None,None,2014
ADULT,0,0,Main Library,August,2013,2013
ADULT,11,0,Main Library,October,2011,2009
JUVENILE,50,20,Main Library,October,2015,2008
SENIOR,4,0,Main Library,August,2015,2015
ADULT,76,21,Main Library,October,2015,2003
JUVENILE,498,104,Presidio,July,2016,2011
ADULT,5,0,Main Library,March,2016,2016
SENIOR,210,2,Main Library,June,2015,2007
ADULT,2,1,Anza,February,2016,2015
ADULT,2126,46,Excelsior,July,2016,2012
ADULT,3,0,Main Library,September,2014,2014
SENIOR,363,43,Portola,June,2016,2012
JUVENILE,49,0,Richmond,April,2015,2010
ADULT,0,0,Main Library,None,None,2015
ADULT,0,0,Chinatown,None,None,2012
SENIOR,6,0,Main Library,June,2016,2016
ADULT,56,54,Main Library,July,2016,2015
ADULT,0,0,Main Library,None,None,2012
JUVENILE,13,0,Ortega,June,2014,2014
JUVENILE,7,0,Richmond,July,2016,2016
ADULT,574,314,Main Library,June,2016,2003
WELCOME,1,0,Bernal Heights,March,2016,2016
ADULT,0,0,Bernal Heights,None,None,2014
ADULT,0,0,Merced,None,None,2016
ADULT,4,1,Anza,July,2016,2013
ADULT,575,156,Mission,June,2015,2007
ADULT,2,0,Noe Valley/Sally Brunn,June,2016,2011
JUVENILE,3,3,Glen Park,July,2015,2015
SENIOR,127,69,Main Library,July,2016,2003
ADULT,4,0,Mission,January,2014,2012
ADULT,32,9,Eureka Valley/Harvey Milk Memorial,July,2016,2014
ADULT,68,14,Ortega,May,2013,2003
ADULT,4,0,Richmond,July,2013,2013
ADULT,0,0,Main Library,None,None,2014
ADULT,39,15,West Portal,July,2015,2014
ADULT,217,43,Parkside,June,2016,2003
ADULT,39,0,Main Library,November,2015,2008
ADULT,93,1,Ingleside,January,2016,2013
YOUNG ADULT,123,0,Chinatown,August,2014,2012
ADULT,369,22,Sunset,July,2016,2009
JUVENILE,3,0,Excelsior,December,2013,2013
ADULT,2,0,Richmond,July,2016,2015
ADULT,37,2,Presidio,September,2010,2003
ADULT,65,1,Bernal Heights,July,2016,2015
ADULT,133,236,Parkside,June,2016,2011
ADULT,0,0,Main Library,None,None,2015
ADULT,1018,779,Mission Bay,July,2016,2003
ADULT,0,0,North Beach,None,None,2013
ADULT,5,0,Bayview/Linda Brooks-Burton,July,2015,2015
JUVENILE,234,23,Bernal Heights,July,2016,2015
SENIOR,0,0,Main Library,None,None,2015
ADULT,43,1,Mission,July,2013,2005
YOUNG ADULT,84,0,Richmond,July,2016,2009
YOUNG ADULT,1462,416,Ortega,July,2016,2005
ADULT,1740,825,Ingleside,July,2016,2012
ADULT,1,0,Main Library,April,2014,2010
ADULT,1,0,Mission,June,2016,2016
YOUNG ADULT,74,21,Ortega,August,2013,2008
JUVENILE,0,0,Mission Bay,None,None,2015
ADULT,50,42,Potrero,June,2016,2003
JUVENILE,53,19,Merced,July,2016,2013
ADULT,228,0,Main Library,June,2014,2009
YOUNG ADULT,356,54,Excelsior,August,2014,2003
JUVENILE,104,6,Merced,August,2014,2013
ADULT,68,7,Noe Valley/Sally Brunn,December,2014,2003
JUVENILE,88,18,Bayview/Linda Brooks-Burton,August,2015,2009
JUVENILE,135,2,Main Library,July,2015,2014
WELCOME,0,0,Main Library,None,None,2014
SENIOR,3198,396,Main Library,July,2016,2003
ADULT,0,0,Merced,None,None,2013
YOUNG ADULT,10,2,Sunset,October,2013,2007
ADULT,51,27,Main Library,July,2016,2011
ADULT,119,71,Richmond,July,2015,2003
ADULT,15,8,Main Library,May,2016,2015
JUVENILE,178,0,Parkside,March,2016,2013
ADULT,2,0,Parkside,August,2015,2015
SENIOR,7,0,Chinatown,January,2014,2007
ADULT,0,0,Noe Valley/Sally Brunn,None,None,2013
ADULT,2,0,Ortega,March,2015,2015
ADULT,85,69,Marina,January,2016,2009
SENIOR,2828,5953,Merced,July,2016,2003
ADULT,20,0,Main Library,November,2013,2013
SENIOR,191,47,Richmond,July,2016,2003
ADULT,5,7,Main Library,July,2013,2010
ADULT,53,42,Mission,June,2015,2006
ADULT,9,0,Portola,April,2016,2015
ADULT,8,12,North Beach,January,2014,2010
ADULT,140,107,Park,October,2015,2010
ADULT,5,0,Main Library,May,2013,2013
ADULT,51,19,Ortega,July,2015,2008
ADULT,11,0,Main Library,December,2013,2013
ADULT,0,0,Main Library,None,None,2013
ADULT,298,114,Glen Park,July,2016,2003
ADULT,790,27,Ingleside,July,2014,2003
ADULT,74,32,Main Library,June,2016,2010
ADULT,319,121,Parkside,July,2016,2014
JUVENILE,8,0,Bayview/Linda Brooks-Burton,July,2016,2014
YOUNG ADULT,24,0,Potrero,August,2014,2011
JUVENILE,168,2,Richmond,July,2016,2010
SENIOR,0,0,Main Library,None,None,2014
ADULT,14,0,Main Library,April,2016,2014
ADULT,3254,1163,Parkside,July,2016,2003
ADULT,0,0,Main Library,None,None,2013
ADULT,7,0,Potrero,October,2014,2014
SENIOR,254,0,Excelsior,May,2014,2009
ADULT,33,0,Ortega,July,2015,2008
ADULT,60,137,Mission Bay,September,2014,2011
ADULT,4,3,Mission,April,2016,2016
ADULT,6,14,Richmond,February,2013,2012
ADULT,0,0,Chinatown,None,None,2013
JUVENILE,227,35,Mission,March,2016,2006
JUVENILE,349,309,Richmond,July,2016,2011
ADULT,147,144,Mission,August,2013,2003
ADULT,113,29,West Portal,March,2013,2008
ADULT,43,117,Main Library,July,2015,2006
ADULT,4,0,Excelsior,July,2011,2011
JUVENILE,0,0,Chinatown,None,None,2016
ADULT,1,0,Bayview/Linda Brooks-Burton,January,2014,2008
ADULT,96,75,Portola,January,2015,2004
ADULT,2,0,Main Library,April,2013,2013
DIGITAL ACCESS CARD,0,0,Park,None,None,2015
SENIOR,0,0,Main Library,None,None,2014
YOUNG ADULT,39,11,Presidio,October,2014,2008
ADULT,10,0,Sunset,November,2013,2012
ADULT,238,90,Western Addition,July,2016,2003
ADULT,0,0,Main Library,None,None,2014
SENIOR,35,0,Main Library,April,2015,2004
ADULT,3,0,Main Library,September,2013,2011
ADULT,78,13,Western Addition,February,2014,2003
ADULT,6,3,Sunset,May,2015,2011
ADULT,343,1,Merced,November,2014,2003
ADULT,469,125,Parkside,March,2016,2003
WELCOME,2,0,Mission Bay,January,2015,2014
ADULT,3,5,Main Library,February,2015,2014
ADULT,21,0,Ingleside,July,2016,2010
ADULT,70,3,Main Library,June,2015,2003
ADULT,91,40,Merced,July,2016,2003
ADULT,40,4,Ingleside,September,2015,2012
ADULT,0,0,Bernal Heights,None,None,2016
STAFF,3088,1484,Main Library,May,2016,2003
ADULT,6,0,Main Library,March,2016,2016
ADULT,5,0,Excelsior,April,2014,2014
ADULT,2,0,Main Library,January,2016,2015
ADULT,106,27,Merced,January,2015,2003
ADULT,1,3,Main Library,June,2015,2015
ADULT,9,0,Main Library,March,2016,2003
ADULT,48,57,Golden Gate Valley,May,2014,2010
JUVENILE,28,0,Excelsior,June,2013,2013
SENIOR,80,22,Ingleside,March,2014,2007
JUVENILE,76,1,Mission,January,2016,2014
YOUNG ADULT,262,19,Excelsior,November,2015,2009
ADULT,51,14,Visitacion Valley,February,2016,2011
ADULT,8,0,Anza,November,2012,2006
ADULT,13,4,Park,July,2016,2015
ADULT,12,0,Main Library,July,2004,2003
SENIOR,27,45,Main Library,June,2016,2003
ADULT,1113,184,Mission Bay,August,2015,2003
ADULT,98,1,Main Library,May,2014,2012
ADULT,91,16,Bernal Heights,July,2016,2015
SENIOR,69,22,North Beach,February,2014,2003
ADULT,1746,1576,Mission Bay,July,2016,2003
WELCOME,0,0,Richmond,None,None,2015
ADULT,0,0,Chinatown,None,None,2014
JUVENILE,28,0,Mission,January,2015,2013
