Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,0,0,Golden Gate Valley,None,None,2015
JUVENILE,24,0,Bernal Heights,August,2014,2011
ADULT,0,0,Main Library,None,None,2014
WELCOME,0,0,Mission Bay,None,None,2016
ADULT,3,0,Portola,September,2014,2012
ADULT,2,0,Main Library,November,2013,2010
ADULT,1,0,Mission,January,2016,2016
ADULT,91,14,Chinatown,April,2016,2009
WELCOME,1,0,Main Library,April,2015,2015
ADULT,238,3,Excelsior,July,2015,2012
ADULT,5,11,Main Library,January,2014,2013
WELCOME,0,0,Main Library,September,2013,2013
JUVENILE,0,0,Golden Gate Valley,None,None,2014
JUVENILE,49,17,Presidio,May,2014,2012
ADULT,14,1,Presidio,October,2013,2008
ADULT,501,197,Chinatown,May,2016,2003
ADULT,17,40,Visitacion Valley,June,2016,2015
ADULT,58,12,Excelsior,August,2013,2003
ADULT,2,0,Marina,July,2016,2013
ADULT,14,2,Main Library,October,2013,2013
ADULT,21,1,Mission Bay,June,2016,2016
ADULT,23,7,North Beach,October,2012,2003
ADULT,0,0,Main Library,None,None,2015
SENIOR,61,11,Mission,December,2013,2003
ADULT,49,0,Visitacion Valley,March,2013,2012
JUVENILE,5,0,Chinatown,July,2013,2010
SENIOR,109,100,Anza,October,2014,2003
ADULT,3,12,Parkside,July,2016,2016
ADULT,12,1,Bernal Heights,January,2015,2012
ADULT,296,231,Chinatown,July,2016,2003
ADULT,175,34,Potrero,September,2015,2003
ADULT,136,111,Main Library,January,2014,2009
YOUNG ADULT,8,0,Portola,October,2015,2009
ADULT,7947,30,West Portal,September,2014,2003
ADULT,0,0,Western Addition,None,None,2015
ADULT,0,0,Mission Bay,None,None,2013
ADULT,0,0,Main Library,None,None,2014
SENIOR,2894,4814,Merced,July,2016,2004
WELCOME,1,0,Main Library,August,2015,2015
WELCOME,0,0,Main Library,None,None,2015
JUVENILE,9,0,Mission Bay,February,2015,2014
ADULT,7,2,Main Library,July,2016,2012
JUVENILE,25,0,Chinatown,July,2016,2013
ADULT,583,2,Mission,July,2016,2003
ADULT,502,150,Ocean View,September,2014,2003
WELCOME,4,0,Excelsior,June,2015,2015
ADULT,0,0,Noe Valley/Sally Brunn,None,None,2015
ADULT,1,0,Main Library,January,2014,2006
ADULT,28,21,Chinatown,March,2013,2012
ADULT,37,0,Potrero,March,2016,2016
ADULT,34,61,Main Library,October,2013,2010
ADULT,19,0,Main Library,March,2016,2007
WELCOME,1,0,Mission,September,2013,2013
ADULT,3,2,Main Library,November,2015,2011
ADULT,1,0,Western Addition,August,2015,2015
SENIOR,152,0,Chinatown,February,2015,2007
ADULT,4,0,Mission,June,2016,2013
ADULT,4,1,Mission,December,2015,2009
SENIOR,232,13,Sunset,July,2016,2003
ADULT,27,3,Sunset,December,2013,2013
ADULT,0,0,Main Library,None,None,2014
ADULT,11,1,Main Library,February,2015,2014
SENIOR,840,379,Mission,April,2016,2013
ADULT,0,0,Main Library,None,None,2015
ADULT,189,49,Main Library,October,2015,2003
ADULT,8,0,Visitacion Valley,July,2016,2016
ADULT,551,78,Ingleside,April,2016,2008
ADULT,408,127,Chinatown,July,2016,2008
SENIOR,505,9,Western Addition,June,2015,2005
